IMDb,classify,douban,title,year
6.7,喜剧/动画,7.5,　爱宠大机密/Pet Pet当家(港)/宠物当家(台)/宠物的秘密生活,2016
6.7,喜剧/动画,7.5,　爱宠大机密/Pet Pet当家(港)/宠物当家(台)/宠物的秘密生活,2016
6.7,喜剧/动画,7.5,　爱宠大机密/Pet Pet当家(港)/宠物当家(台)/宠物的秘密生活,2016
5.7,喜剧/动画/冒险,7.5,　诺亚方舟漂流记/诺亚方舟大冒险,2015
5.7,喜剧/动画/冒险,7.5,　诺亚方舟漂流记/诺亚方舟大冒险,2015
6.9,喜剧/动画/奇幻,7.5,　精灵旅社2/尖叫旅社2(台)/鬼灵精怪大酒店2(港)/精灵旅店2,2015
6.9,喜剧/动画/奇幻,7.5,　精灵旅社2/尖叫旅社2(台)/鬼灵精怪大酒店2(港)/精灵旅店2,2015
6.9,喜剧/动画/奇幻,7.5,　精灵旅社2/尖叫旅社2(台)/鬼灵精怪大酒店2(港)/精灵旅店2,2015
7.1,剧情/传记/冒险,7.5,　绝命海拔/圣母峰(台)/珠峰浩劫(港)/珠穆朗玛/远征珠峰/珠穆朗玛峰,2015
7.1,剧情/传记/冒险,7.5,　绝命海拔/圣母峰(台)/珠峰浩劫(港)/珠穆朗玛/远征珠峰/珠穆朗玛峰,2015
7.3,动作/科幻,7.5,　钢铁侠3/铁甲奇侠3(港)/钢铁人3(台)/铁人3,2013
7.2,动画/冒险/喜剧/家庭/奇幻,7.5,　怪物史瑞克2/怪物史莱克2/史瑞克2/史力加2,2004
7.2,动画/冒险/喜剧/家庭/奇幻,7.5,　怪物史瑞克2/怪物史莱克2/史瑞克2/史力加2,2004
6.3,喜剧/动作/动画/冒险,7.5,　怪物史瑞克4/史力加万岁万万岁(港)/史瑞克快乐4神仙(台)/怪物史莱克4/史瑞克4/史力加4,2010
6.3,喜剧/动作/动画/冒险,7.5,　怪物史瑞克4/史力加万岁万万岁(港)/史瑞克快乐4神仙(台)/怪物史莱克4/史瑞克4/史力加4,2010
6.6,动画/冒险/家庭/奇幻,7.5,　极地特快/北极特快车/极地列车/极地快递,2004
6.6,动画/冒险/家庭/奇幻,7.5,　极地特快/北极特快车/极地列车/极地快递,2004
,动作/冒险/科幻/惊悚,7.5,　铁血战士/掠夺者/终极战士/猎食者,1987
,动作/冒险/科幻/惊悚,7.5,　铁血战士/掠夺者/终极战士/猎食者,1987
7.2,喜剧/动作/动画/家庭/奇幻/冒险,7.4,　勇敢传说/勇敢传说之幻险森林(港)/勇敢/勇敢的公主/熊与弓,2012
7.2,喜剧/动作/动画/家庭/奇幻/冒险,7.4,　勇敢传说/勇敢传说之幻险森林(港)/勇敢/勇敢的公主/熊与弓,2012
